,loss,acc,val_loss,val_acc
50,0.0875,0.9692,0.0067,0.9997
51,0.0777,0.9738,0.0115,0.9976
52,0.0686,0.9768,0.0044,0.9997
53,0.0544,0.982,0.0087,0.9983
54,0.0578,0.9802,0.0028,0.9997
55,0.0874,0.9697,0.0021,1
56,0.0714,0.9746,0.0079,0.9979
57,0.0608,0.9788,0.0062,0.9973
58,0.0727,0.9748,0.022,0.9935
59,0.0655,0.9768,0.0049,0.9997
60,0.0539,0.9819,0.0236,0.9918
61,0.072,0.9745,0.013,0.9966
62,0.0584,0.9796,0.8305,0.7682
63,0.0661,0.9784,0.005,0.9993
64,0.0509,0.9821,0.0017,1
65,0.0513,0.9818,0.0309,0.9853
66,0.0668,0.9774,0.0688,0.9688
67,0.0568,0.9806,0.0048,0.9997
68,0.0608,0.9808,0.0095,0.999
69,0.0605,0.979,0.0056,0.9986
70,0.0475,0.9832,0.0057,0.9997
71,0.0544,0.9817,0.214,0.9257
72,0.0562,0.9805,0.0346,0.9908
73,0.0341,0.99,0.0478,0.9819
74,0.0602,0.9792,0.0053,0.9986
75,0.0426,0.9857,0.01,0.9973
76,0.0416,0.9871,0.1302,0.9421
77,0.0395,0.9871,0.0019,1
78,0.0368,0.9877,0.0071,0.9973
79,0.0566,0.9828,0.0235,0.9911
80,0.0409,0.9862,0.0198,0.9925
81,0.0697,0.976,0.0045,1
82,0.0539,0.9816,0.01,0.9969
83,0.0551,0.9806,0.002,1
84,0.0712,0.975,0.0068,0.9979
85,0.0604,0.9798,0.0041,1
86,0.0304,0.9889,0.0052,0.999
87,0.0479,0.9847,0.0994,0.9569
88,0.0763,0.9725,0.0252,0.9921
89,0.0531,0.9822,0.0228,0.9935
90,0.0385,0.9872,0.2536,0.9288
91,0.0653,0.9778,0.001,1
92,0.0599,0.9787,0.0062,0.999
93,0.0582,0.9798,0.1272,0.9466
94,0.0537,0.9815,0.0031,1
95,0.0524,0.9824,0.0103,0.9962
96,0.047,0.9839,0.0308,0.9894
97,0.0514,0.983,0.0061,0.9993
98,0.0486,0.9844,0.0216,0.9918
99,0.0476,0.9835,0.0278,0.988
100,0.0508,0.9825,0.015,0.9942
101,0.0524,0.9817,0.0224,0.9908
102,0.0338,0.9892,0.0015,1
103,0.0474,0.9848,0.3258,0.9195
104,0.0524,0.9807,0.0032,0.9993
105,0.0438,0.9852,0.0366,0.9884
106,0.0413,0.9853,0.0335,0.9873
107,0.0513,0.9837,0.0447,0.9815
108,0.0452,0.9841,0.0042,1
109,0.0332,0.9889,0.0218,0.9904
110,0.0408,0.9856,0.0153,0.9959
111,0.0509,0.9831,0.0314,0.987
112,0.0289,0.9908,9.06E-04,1
113,0.0402,0.9864,0.0264,0.9901
114,0.0414,0.9856,0.0048,0.999
115,0.0363,0.9884,0.0246,0.9911
116,0.0289,0.9907,0.0051,0.999
117,0.0559,0.9799,0.0203,0.9959
118,0.0391,0.9868,0.0154,0.9966
