,loss,acc,val_loss,val_acc
484,0.276,0.8537,0.6138,0.7162
485,0.2781,0.8532,0.5903,0.7196
486,0.2773,0.8541,0.5992,0.7135
487,0.2751,0.8542,0.5939,0.7241
488,0.2774,0.853,0.6242,0.7152
489,0.276,0.8527,0.6223,0.7186
490,0.2755,0.8549,0.606,0.7117
491,0.2762,0.8545,0.6105,0.722
492,0.2775,0.8522,0.6034,0.7182
493,0.2765,0.8543,0.6144,0.7186
494,0.2767,0.8532,0.5914,0.7135
495,0.277,0.8507,0.6063,0.72
496,0.2757,0.8546,0.6188,0.7152
497,0.2768,0.8519,0.6215,0.7145
498,0.2773,0.8529,0.5916,0.7193
499,0.2758,0.8544,0.6207,0.715
